상품코드,상품명,중분류,유통기한(일),발주단위수량,발주단위명,대분류,소분류코드,소분류명,판매가,행사유형,행사명,발주상태,발주가능요일
8809069305826,돌)후룻바틀파인애플666g,014,180,1,낱개,11,036,"냉장젤리,푸딩",9000,2+1,,,월화수목금토
8809069305345,돌)후룻바틀황도666g,014,180,1,낱개,11,036,"냉장젤리,푸딩",9000,2+1,,,월화수목금토
4809016312314,키즈웰)말차미니크런치,014,183,1,낱개,11,230,상온디저트,4800,,,가능,월화수목금토
4809016312338,키즈웰)초코미니크런치,014,183,1,낱개,11,230,상온디저트,4800,,,가능,월화수목금토
4809016312321,키즈웰)쿠키미니크런치,014,183,1,낱개,11,230,상온디저트,4800,,,가능,월화수목금토
8809069305802,돌)후룻바틀망고666g,014,210,1,낱개,11,036,"냉장젤리,푸딩",9000,2+1,,,월화수목금토
8805684006988,MDS)젤리블리납작복숭아,014,250,20,BOX,11,036,"냉장젤리,푸딩",900,,,불가,월화수목금토
8805684011739,MDS)젤리블리도넛피치,014,250,20,낱개,11,036,"냉장젤리,푸딩",900,2+1,,,월화수목금토
8805684005103,MDS)젤리블리샤인머스켓,014,250,20,BOX,11,036,"냉장젤리,푸딩",900,,,불가,월화수목금토
8805684011715,MDS)젤리블리애플망고,014,250,20,낱개,11,036,"냉장젤리,푸딩",900,2+1,,,월화수목금토
8805684011401,MDS)젤리블리애플샤인,014,250,20,낱개,11,036,"냉장젤리,푸딩",900,2+1,,,월화수목금토
8805684010961,MDS)젤리블리제로오망고,014,250,20,지함,11,036,"냉장젤리,푸딩",900,,,불가,월화수목금토
8805684011333,MDS)젤리블리제로피치플럼,014,250,20,낱개,11,036,"냉장젤리,푸딩",900,,,불가,월화수목금토
8809403535223,인테)곤약젤리망고,014,324,1,낱개,11,036,"냉장젤리,푸딩",1900,2+1,,가능,월화수목금토
8809403535193,인테)곤약젤리복숭아,014,324,1,낱개,11,036,"냉장젤리,푸딩",1900,2+1,,,월화수목금토
8809403539375,인테)곤약젤리복숭아자두,014,324,1,낱개,11,036,"냉장젤리,푸딩",2000,2+1,,,월화수목금토
8809403539351,인테)곤약젤리유자레몬,014,324,1,낱개,11,036,"냉장젤리,푸딩",2000,,,가능,월화수목금토
8809403535216,인테)곤약젤리청포도,014,324,1,낱개,11,036,"냉장젤리,푸딩",1900,2+1,,,월화수목금토
